Title,Certificate,Rating,Metascore,Scaled Rating,ScaledRating
A Haunted House 2,R,4.7,17.0,47.0,47.0
Lost Girls and Love Hotels,R,4.7,57.0,47.0,47.0
Anacondas: The Hunt for the Blood Orchid,U,4.7,40.0,47.0,47.0
YellowBrickRoad,R,4.7,52.0,47.0,47.0
Confessions of a Teenage Drama Queen,PG,4.7,33.0,47.0,47.0
Poltergeist III,A,4.7,40.0,47.0,47.0
Twixt,R,4.7,40.0,47.0,47.0
The Marine,PG-13,4.7,45.0,47.0,47.0
Who's That Girl,U,4.8,27.0,48.0,48.0
The Layover,R,4.8,15.0,48.0,48.0
Gotti,R,4.8,24.0,48.0,48.0
Godsend,UA,4.8,24.0,48.0,48.0
Songbird,PG-13,4.8,27.0,48.0,48.0
After Earth,UA,4.8,33.0,48.0,48.0
The Tax Collector,A,4.8,22.0,48.0,48.0
Monkeybone,UA,4.8,40.0,48.0,48.0
The Exorcist: Believer,R,4.8,39.0,48.0,48.0
The Animal,PG-13,4.8,43.0,48.0,48.0
The Poison Rose,R,4.8,26.0,48.0,48.0
They,PG-13,4.8,31.0,48.0,48.0
End of the Road,UA 16+,4.8,44.0,48.0,48.0
The Forest,UA,4.8,34.0,48.0,48.0
Proximity,UA 16+,4.8,38.0,48.0,48.0
Halloween II,A,4.8,35.0,48.0,48.0
Buddy Games,R,4.8,22.0,48.0,48.0
About Cherry,R,4.8,33.0,48.0,48.0
"Legally Blonde 2: Red, White & Blonde",U,4.8,47.0,48.0,48.0
DOA: Dead or Alive,UA,4.8,38.0,48.0,48.0
Supernova,PG-13,4.8,19.0,48.0,48.0
The Rage: Carrie 2,R,4.8,42.0,48.0,48.0
The Kissing Booth 3,13,4.8,36.0,48.0,48.0
The Twilight Saga: New Moon,UA,4.8,44.0,48.0,48.0
Envy,U,4.8,31.0,48.0,48.0
Shut In,PG-13,4.8,25.0,48.0,48.0
Big Momma's House 2,U,4.8,34.0,48.0,48.0
What Happens Later,R,4.8,59.0,48.0,48.0
Staying Alive,U,4.8,24.0,48.0,48.0
The Kitchen,R,4.8,66.0,48.0,48.0
Cool World,UA,4.8,27.0,48.0,48.0
Underdog,PG,4.8,37.0,48.0,48.0
Expend4bles,R,4.8,30.0,48.0,48.0
Teenage Mutant Ninja Turtles III,U,4.8,40.0,48.0,48.0
All About Steve,PG-13,4.8,17.0,48.0,48.0
Stratton,A,4.8,26.0,48.0,48.0
Are We There Yet?,PG,4.8,27.0,48.0,48.0
Zombeavers,R,4.8,44.0,48.0,48.0
Downtown Owl,R,4.8,48.0,48.0,48.0
Leprechaun,R,4.8,17.0,48.0,48.0
Double Team,UA,4.8,44.0,48.0,48.0
Blacklight,PG-13,4.8,27.0,48.0,48.0
The Informers,Not Rated,4.9,20.0,49.0,49.0
Tammy,R,4.9,39.0,49.0,49.0
Poltergeist,A,4.9,47.0,49.0,49.0
Charlie's Angels: Full Throttle,A,4.9,48.0,49.0,49.0
The Twilight Saga: Breaking Dawn - Part 1,A,4.9,45.0,49.0,49.0
Herbie: Fully Loaded,U,4.9,47.0,49.0,49.0
Pet Sematary II,A,4.9,35.0,49.0,49.0
Valentine,A,4.9,18.0,49.0,49.0
Ghosts of Mars,UA,4.9,35.0,49.0,49.0
Alvin and the Chipmunks: The Road Chip,U,4.9,33.0,49.0,49.0
Knock Knock,A,4.9,53.0,49.0,49.0
Gone in the Night,R,4.9,52.0,49.0,49.0
Satisfaction,A,4.9,44.0,49.0,49.0
Anaconda,A,4.9,37.0,49.0,49.0
The Strays,UA 16+,4.9,58.0,49.0,49.0
Paradise,Not Rated,4.9,20.0,49.0,49.0
Silent Hill: Revelation,R,4.9,16.0,49.0,49.0
Endless Love,A,4.9,30.0,49.0,49.0
New York Minute,PG,4.9,33.0,49.0,49.0
Sheena,U,4.9,39.0,49.0,49.0
Gulliver's Travels,U,4.9,33.0,49.0,49.0
Seed of Chucky,A,4.9,46.0,49.0,49.0
Awake,18,4.9,35.0,49.0,49.0
Lakewood,PG-13,4.9,35.0,49.0,49.0
Temptation: Confessions of a Marriage Counselor,PG-13,4.9,26.0,49.0,49.0
Blues Brothers 2000,U,4.9,48.0,49.0,49.0
The Darkest Hour,UA,4.9,18.0,49.0,49.0
90 Minutes in Heaven,PG-13,4.9,28.0,49.0,49.0
The Cold Light of Day,UA,4.9,22.0,49.0,49.0
Dracula 2000,R,4.9,26.0,49.0,49.0
Fantasy Island,A,4.9,22.0,49.0,49.0
Year One,UA,4.9,34.0,49.0,49.0
Wild Wild West,A,4.9,40.0,49.0,49.0
There's Someone Inside Your House,18,4.9,45.0,49.0,49.0
Sharp Stick,R,4.9,53.0,49.0,49.0
Black Knight,PG-13,4.9,32.0,49.0,49.0
"Honey, I Blew Up the Kid",U,4.9,50.0,49.0,49.0
Wander,R,4.9,54.0,49.0,49.0
2067,A,4.9,39.0,49.0,49.0
Tarot,PG-13,5.0,38.0,50.0,50.0
Miss March,R,5.0,7.0,50.0,50.0
Maybe I Do,PG-13,5.0,42.0,50.0,50.0
Addicted,18,5.0,32.0,50.0,50.0
The Happening,UA,5.0,34.0,50.0,50.0
Halloween Ends,A,5.0,47.0,50.0,50.0
Shadow in the Cloud,13,5.0,66.0,50.0,50.0
A Nightmare on Elm Street: The Dream Child,A,5.0,54.0,50.0,50.0
Charlie's Angels,UA,5.0,52.0,50.0,50.0
Shattered,R,5.0,27.0,50.0,50.0
Leatherface,A,5.0,40.0,50.0,50.0
Casino Royale,A,5.0,48.0,50.0,50.0
A Haunted House,R,5.0,20.0,50.0,50.0
Ma mère,NC-17,5.0,35.0,50.0,50.0
Elektra Luxx,R,5.0,50.0,50.0,50.0
Meg 2: The Trench,PG-13,5.0,40.0,50.0,50.0
47 Meters Down: Uncaged,A,5.0,43.0,50.0,50.0
Superman III,U,5.0,44.0,50.0,50.0
The Women,UA,5.0,27.0,50.0,50.0
Cold Creek Manor,R,5.0,37.0,50.0,50.0
Tamara,R,5.0,34.0,50.0,50.0
Tooth Fairy,U,5.0,36.0,50.0,50.0
Leatherface: Texas Chainsaw Massacre III,A,5.0,30.0,50.0,50.0
Blair Witch,R,5.0,47.0,50.0,50.0
Police Academy 4: Citizens on Patrol,U,5.0,26.0,50.0,50.0
Zone 414,R,5.0,36.0,50.0,50.0
The Virtuoso,R,5.0,24.0,50.0,50.0
The Haunting,A,5.0,42.0,50.0,50.0
The Flintstones,U,5.0,38.0,50.0,50.0
Cursed,A,5.0,31.0,50.0,50.0
See No Evil,R,5.0,17.0,50.0,50.0
Scarlet Diva,R,5.0,48.0,50.0,50.0
The Beverly Hillbillies,U,5.0,37.0,50.0,50.0
Virus,R,5.0,19.0,50.0,50.0
Paint,PG-13,5.0,45.0,50.0,50.0
High School Musical 3: Senior Year,U,5.0,57.0,50.0,50.0
First Kill,R,5.0,39.0,50.0,50.0
Galaxy of Terror,A,5.0,38.0,50.0,50.0
The Grudge 2,UA,5.0,33.0,50.0,50.0
Darkness Falls,PG-13,5.0,23.0,50.0,50.0
Obsessed,PG-13,5.0,25.0,50.0,50.0
Hot Tub Time Machine 2,R,5.0,29.0,50.0,50.0
Garfield: The Movie,U,5.0,27.0,50.0,50.0
Garfield: A Tale of Two Kitties,U,5.0,37.0,50.0,50.0
Stay Alive,UA,5.0,24.0,50.0,50.0
After We Collided,18,5.0,14.0,50.0,50.0
Moonfall,UA,5.1,41.0,51.0,51.0
White Men Can't Jump,UA 16+,5.1,40.0,51.0,51.0
Alex Rider: Operation Stormbreaker,U,5.1,42.0,51.0,51.0
New Rose Hotel,R,5.1,31.0,51.0,51.0
Wish Upon,UA,5.1,32.0,51.0,51.0
The King's Daughter,PG,5.1,31.0,51.0,51.0
A Dirty Shame,A,5.1,56.0,51.0,51.0
The Three Stooges,PG,5.1,56.0,51.0,51.0
Exorcist: The Beginning,A,5.1,30.0,51.0,51.0
Agent Cody Banks,U,5.1,41.0,51.0,51.0
How It Ends,16,5.1,36.0,51.0,51.0
Sorority Row,R,5.1,24.0,51.0,51.0
Eragon,U,5.1,38.0,51.0,51.0
Pinocchio,U,5.1,38.0,51.0,51.0
When a Stranger Calls,A,5.1,27.0,51.0,51.0
Tesla,PG-13,5.1,67.0,51.0,51.0
Toys,U,5.1,40.0,51.0,51.0
The Hills Have Eyes II,R,5.1,32.0,51.0,51.0
Hellraiser: Bloodline,A,5.1,21.0,51.0,51.0
An American Werewolf in Paris,A,5.1,31.0,51.0,51.0
First Daughter,PG,5.1,31.0,51.0,51.0
The Fly II,A,5.1,36.0,51.0,51.0
Scary Movie 4,A,5.1,40.0,51.0,51.0
The Unholy,PG-13,5.1,36.0,51.0,51.0
Miss Congeniality 2: Armed and Fabulous,U,5.1,34.0,51.0,51.0
Sliver,A,5.1,38.0,51.0,51.0
31,R,5.1,35.0,51.0,51.0
Summer Catch,PG-13,5.1,21.0,51.0,51.0
Fire Down Below,UA,5.1,40.0,51.0,51.0
Stealth,PG-13,5.1,35.0,51.0,51.0
Swimfan,A,5.1,29.0,51.0,51.0
UglyDolls,U,5.1,39.0,51.0,51.0
Conan the Barbarian,A,5.1,36.0,51.0,51.0
Unforgettable,R,5.1,45.0,51.0,51.0
"I, Frankenstein",UA,5.1,30.0,51.0,51.0
Me Time,UA 16+,5.1,25.0,51.0,51.0
"10,000 BC",UA,5.1,34.0,51.0,51.0
G-Force,PG,5.1,41.0,51.0,51.0
The Cave,UA,5.1,30.0,51.0,51.0
Playing with Fire,UA,5.1,24.0,51.0,51.0
The Dukes of Hazzard,PG-13,5.1,33.0,51.0,51.0
Sex Tape,A,5.1,36.0,51.0,51.0
Showgirls,A,5.1,23.0,51.0,51.0
Red Sonja,U,5.1,35.0,51.0,51.0
Cannonball Run II,U,5.1,13.0,51.0,51.0
Morbius,UA,5.1,35.0,51.0,51.0
The Final Destination,A,5.1,30.0,51.0,51.0
The Immaculate Room,R,5.1,42.0,51.0,51.0
Revenge of the Nerds II: Nerds in Paradise,U,5.1,28.0,51.0,51.0
The Twilight Saga: Eclipse,UA,5.1,58.0,51.0,51.0
Cosmopolis,R,5.1,58.0,51.0,51.0
The Phantom,UA,5.1,53.0,51.0,51.0
The Neverending Story II: The Next Chapter,U,5.1,30.0,51.0,51.0
Meteor,U,5.1,27.0,51.0,51.0
Hot Pursuit,PG-13,5.1,31.0,51.0,51.0
Hubie Halloween,13,5.2,53.0,52.0,52.0
Shutter,A,5.2,37.0,52.0,52.0
Magic Mike's Last Dance,A,5.2,52.0,52.0,52.0
The Lords of Salem,R,5.2,57.0,52.0,52.0
Spiral: From the Book of Saw,A,5.2,40.0,52.0,52.0
Prêt-à-Porter,R,5.2,48.0,52.0,52.0
Superstar,UA,5.2,42.0,52.0,52.0
Malibu's Most Wanted,PG-13,5.2,43.0,52.0,52.0
The Sweetest Thing,A,5.2,32.0,52.0,52.0
John and the Hole,R,5.2,61.0,52.0,52.0
Private School,A,5.2,25.0,52.0,52.0
Scooby-Doo 2: Monsters Unleashed,U,5.2,34.0,52.0,52.0
The Possession of Hannah Grace,A,5.2,37.0,52.0,52.0
Time Changer,PG,5.2,26.0,52.0,52.0
The 5th Wave,UA,5.2,33.0,52.0,52.0
Sherlock Gnomes,UA,5.2,36.0,52.0,52.0
Doom,UA,5.2,34.0,52.0,52.0
Army of One,R,5.2,43.0,52.0,52.0
Life on the Line,R,5.2,24.0,52.0,52.0
The Covenant,A,5.2,19.0,52.0,52.0
Rebel Moon - Part Two: The Scargiver,PG-13,5.2,36.0,52.0,52.0
A Nightmare on Elm Street,A,5.2,35.0,52.0,52.0
Chasers,R,5.2,44.0,52.0,52.0
Alvin and the Chipmunks,U,5.2,39.0,52.0,52.0
The Perfect Find,UA 16+,5.2,57.0,52.0,52.0
Miller's Girl,R,5.2,41.0,52.0,52.0
The Lazarus Effect,PG-13,5.2,31.0,52.0,52.0
The Garden of Eden,R,5.2,28.0,52.0,52.0
A Nice Girl Like You,R,5.2,41.0,52.0,52.0
The Medallion,U,5.2,38.0,52.0,52.0
Independence Day: Resurgence,UA,5.2,32.0,52.0,52.0
Child's Play 3,UA,5.2,27.0,52.0,52.0
The Transporter Refueled,UA,5.2,32.0,52.0,52.0
The Haunted Mansion,U,5.2,34.0,52.0,52.0
Transformers: The Last Knight,UA,5.2,27.0,52.0,52.0
Secret Headquarters,12+,5.2,47.0,52.0,52.0
Racing Stripes,PG,5.2,43.0,52.0,52.0
My Big Fat Greek Wedding 3,PG-13,5.2,35.0,52.0,52.0
Monster Hunter,UA,5.2,47.0,52.0,52.0
Big Momma's House,A,5.2,33.0,52.0,52.0
Alex Cross,PG-13,5.2,30.0,52.0,52.0
Infinite Storm,A,5.2,56.0,52.0,52.0
Jungle 2 Jungle,Not Rated,5.2,42.0,52.0,52.0
Superfly,R,5.2,52.0,52.0,52.0
Romance,A,5.2,49.0,52.0,52.0
Queen of the Damned,A,5.2,30.0,52.0,52.0
Welcome Home,R,5.2,38.0,52.0,52.0
The Mummy: Tomb of the Dragon Emperor,UA,5.2,31.0,52.0,52.0
Rough Night,UA,5.2,51.0,52.0,52.0
The Bad Batch,R,5.2,62.0,52.0,52.0
The First Purge,Not Rated,5.2,54.0,52.0,52.0
Flatliners,A,5.2,27.0,52.0,52.0
Spawn,A,5.2,34.0,52.0,52.0
Lost in Space,UA,5.2,43.0,52.0,52.0
F9,UA,5.2,58.0,52.0,52.0
A Good Day to Die Hard,UA,5.2,28.0,52.0,52.0
The Estate,R,5.2,37.0,52.0,52.0
Blood for Dust,R,5.2,58.0,52.0,52.0
Resident Evil: Welcome to Raccoon City,A,5.2,44.0,52.0,52.0
Hangman,R,5.2,31.0,52.0,52.0
Apollo 18,PG-13,5.2,24.0,52.0,52.0
Zookeeper,U,5.2,30.0,52.0,52.0
Fallen,PG-13,5.2,47.0,52.0,52.0
Truth or Dare,A,5.2,35.0,52.0,52.0
Snow Dogs,U,5.2,29.0,52.0,52.0
Color of Night,R,5.2,36.0,52.0,52.0
The Wild,G,5.2,47.0,52.0,52.0
Return to the Blue Lagoon,UA,5.2,28.0,52.0,52.0
It Lives Inside,PG-13,5.2,50.0,52.0,52.0
My Tutor,A,5.2,17.0,52.0,52.0
Cats & Dogs,U,5.2,47.0,52.0,52.0
